  n  | meja |     naivno     |    Strassen    |  razlika  |
-----|------|----------------|----------------|-----------|
   2 |    1 |           1056 |          11222 |    -10166 |
-----|------|----------------|----------------|-----------|
   4 |    2 |            612 |           9576 |     -8964 |
   4 |    1 |            716 |          41384 |    -40668 |
-----|------|----------------|----------------|-----------|
   8 |    4 |           2946 |          13352 |    -10406 |
   8 |    2 |           2760 |          53994 |    -51234 |
   8 |    1 |            876 |         205536 |   -204660 |
-----|------|----------------|----------------|-----------|
  16 |    8 |           4690 |          18026 |    -13336 |
  16 |    4 |           4538 |          69812 |    -65274 |
  16 |    2 |           4708 |         344198 |   -339490 |
  16 |    1 |           4442 |        1200750 |  -1196308 |
-----|------|----------------|----------------|-----------|
  32 |   16 |          29098 |          48136 |    -19038 |
  32 |    8 |          29218 |         129512 |   -100294 |
  32 |    4 |          31756 |         444692 |   -412936 |
  32 |    2 |          28756 |        2197710 |  -2168954 |
  32 |    1 |          30596 |        8169466 |  -8138870 |
-----|------|----------------|----------------|-----------|
  64 |   32 |         221212 |         250876 |    -29664 |
  64 |   16 |         219894 |         402816 |   -182922 |
  64 |    8 |         232292 |         936252 |   -703960 |
  64 |    4 |         224012 |        3001944 |  -2777932 |
  64 |    2 |         226442 |       11049280 | -10822838 |
-----|------|----------------|----------------|-----------|
 128 |   64 |        1759928 |        1752032 |      7896 |
 128 |   32 |        1768906 |        1927570 |   -158664 |
 128 |   16 |        1813880 |        2981582 |  -1167702 |
 128 |    8 |        1766226 |        6543320 |  -4777094 |
 128 |    4 |        1767110 |       21037294 | -19270184 |
-----|------|----------------|----------------|-----------|
 256 |  128 |       14907870 |       12733590 |   2174280 |
 256 |   64 |       14741558 |       13170940 |   1570618 |
 256 |   32 |       15824200 |       14147482 |   1676718 |
 256 |   16 |       15584592 |       21305760 |  -5721168 |
 256 |    8 |       15428386 |       47093428 | -31665042 |
-----|------|----------------|----------------|-----------|
 512 |  256 |      142447692 |      104773154 |  37674538 |
 512 |  128 |      144128784 |       93244248 |  50884536 |
 512 |   64 |      144577984 |       89442372 |  55135612 |
 512 |   32 |      144234000 |      100850406 |  43383594 |
 512 |   16 |      144686510 |      152910958 |  -8224448 |
-----|------|----------------|----------------|-----------|
