  n  | meja |     naivno     |    Strassen    |  razlika  |
-----|------|----------------|----------------|-----------|
   2 |    1 |           1050 |          10618 |     -9568 |
-----|------|----------------|----------------|-----------|
   4 |    2 |            578 |           8890 |     -8312 |
   4 |    1 |            574 |          31684 |    -31110 |
-----|------|----------------|----------------|-----------|
   8 |    4 |           2530 |          12446 |     -9916 |
   8 |    2 |           2668 |          69958 |    -67290 |
   8 |    1 |           1272 |         275410 |   -274138 |
-----|------|----------------|----------------|-----------|
  16 |    8 |           4474 |          18082 |    -13608 |
  16 |    4 |           4504 |          67066 |    -62562 |
  16 |    2 |           4558 |         342398 |   -337840 |
  16 |    1 |           5898 |        1262764 |  -1256866 |
-----|------|----------------|----------------|-----------|
  32 |   16 |          29118 |          50164 |    -21046 |
  32 |    8 |          36778 |         150192 |   -113414 |
  32 |    4 |          31216 |         416482 |   -385266 |
  32 |    2 |          31478 |        2124224 |  -2092746 |
  32 |    1 |          30430 |        8189326 |  -8158896 |
-----|------|----------------|----------------|-----------|
  64 |   32 |         239850 |         255690 |    -15840 |
  64 |   16 |         226228 |         405430 |   -179202 |
  64 |    8 |         227992 |         987430 |   -759438 |
  64 |    4 |         225594 |        2928288 |  -2702694 |
  64 |    2 |         226164 |       11061330 | -10835166 |
-----|------|----------------|----------------|-----------|
 128 |   64 |        1741196 |        1739270 |      1926 |
 128 |   32 |        1769432 |        1925354 |   -155922 |
 128 |   16 |        1766710 |        2986580 |  -1219870 |
 128 |    8 |        1772604 |        6590830 |  -4818226 |
 128 |    4 |        1759300 |       20452140 | -18692840 |
-----|------|----------------|----------------|-----------|
 256 |  128 |       14519300 |       12793486 |   1725814 |
 256 |   64 |       14600180 |       12843672 |   1756508 |
 256 |   32 |       15520718 |       14863576 |    657142 |
 256 |   16 |       16267068 |       21912204 |  -5645136 |
 256 |    8 |       15641202 |       47702010 | -32060808 |
-----|------|----------------|----------------|-----------|
 512 |  256 |      141232136 |      104544246 |  36687890 |
 512 |  128 |      143124478 |       91877756 |  51246722 |
 512 |   64 |      143284386 |       89272684 |  54011702 |
 512 |   32 |      146543770 |      103727460 |  42816310 |
 512 |   16 |      145760880 |      154689326 |  -8928446 |
-----|------|----------------|----------------|-----------|
